Year;Day;Surf. Water;Air
Verano;Madrugada;20.52;14.89
Verano;Madrugada;20.33;14.7
Verano;Madrugada;20.23;14.48
Verano;Madrugada;20.14;14.46
Verano;Madrugada;20.14;14.43
Verano;Madrugada;20.04;14.46
Verano;Madrugada;19.85;14.39
Verano;Madrugada;19.76;14.29
Verano;Madrugada;19.66;14.19
Verano;Madrugada;19.57;14.48
Verano;Madrugada;19.47;14.77
Verano;Madrugada;19.38;14.84
Verano;Madrugada;19.28;14.82
Verano;Madrugada;19.28;14.82
Verano;Madrugada;19.19;14.77
Verano;Madrugada;19.09;14.77
Verano;Madrugada;19;14.94
Verano;Madrugada;19;15.06
Verano;Madrugada;18.81;15.06
Verano;Madrugada;18.71;15.01
Verano;Madrugada;18.62;14.94
Verano;Madrugada;18.52;14.91
Verano;Madrugada;18.43;14.91
Verano;Madrugada;18.33;14.96
Verano;Madrugada;18.33;14.98
Verano;Madrugada;18.33;15.01
Verano;Madrugada;18.33;15.01
Verano;Madrugada;18.33;15.01
Verano;Madrugada;18.24;14.98
Verano;Madrugada;18.14;15.01
Verano;Madrugada;18.05;15.03
Verano;Madrugada;18.05;15.06
Verano;Madrugada;18.14;15.18
Verano;Madrugada;18.33;15.25
Verano;Madrugada;18.52;15.34
Verano;Madrugada;18.52;15.44
Verano;Mañana;18.33;15.44
Verano;Mañana;18.52;15.51
Verano;Mañana;18.62;15.63
Verano;Mañana;18.71;15.75
Verano;Mañana;18.9;15.87
Verano;Mañana;18.9;15.99
Verano;Mañana;19.09;16.13
Verano;Mañana;19.19;16.13
Verano;Mañana;19.85;16.46
Verano;Mañana;20.33;16.92
Verano;Mañana;20.81;17.15
Verano;Mañana;21;17.42
Verano;Mañana;21.19;17.53
Verano;Mañana;21.57;17.87
Verano;Mañana;22.05;17.99
Verano;Mañana;22.33;18.89
Verano;Mañana;22.62;19.37
Verano;Mañana;23;19.84
Verano;Mañana;23.29;20.08
Verano;Mañana;23.68;20.39
Verano;Mañana;24.06;20.6
Verano;Mañana;24.45;20.65
Verano;Mañana;24.64;21.13
Verano;Mañana;25.03;22.29
Verano;Mañana;25.42;23.45
Verano;Mañana;25.81;22.13
Verano;Mañana;26.2;22.11
Verano;Mañana;26.68;22.49
Verano;Mañana;27.08;22.23
Verano;Mañana;27.47;22.35
Verano;Mañana;27.86;22.59
Verano;Mañana;28.26;23.06
Verano;Mañana;28.56;22.78
Verano;Mañana;28.75;23.02
Verano;Mañana;29.15;23.26
Verano;Mañana;29.45;23.38
Verano;Tarde;29.75;23.59
Verano;Tarde;30.05;23.67
Verano;Tarde;30.36;23.81
Verano;Tarde;30.56;24.15
Verano;Tarde;30.96;24.24
Verano;Tarde;31.06;24.41
Verano;Tarde;31.17;24.92
Verano;Tarde;31.37;25.16
Verano;Tarde;31.37;25.16
Verano;Tarde;31.47;25.09
Verano;Tarde;31.47;25.19
Verano;Tarde;31.57;25.19
Verano;Tarde;31.57;25.43
Verano;Tarde;31.57;25.36
Verano;Tarde;31.47;25.67
Verano;Tarde;31.31;25.72
Verano;Tarde;31.16;25.65
Verano;Tarde;31;25.4
Verano;Tarde;30.84;25.5
Verano;Tarde;30.68;25.4
Verano;Tarde;30.53;25.21
Verano;Tarde;30.37;25.26
Verano;Tarde;30.21;25.26
Verano;Tarde;30.06;25.02
Verano;Tarde;29.9;25.02
Verano;Tarde;29.74;24.94
Verano;Tarde;29.58;25.02
Verano;Tarde;29.43;24.87
Verano;Tarde;29.27;24.97
Verano;Tarde;29.11;24.92
Verano;Tarde;28.95;24.65
Verano;Tarde;28.85;24.68
Verano;Tarde;28.66;24.61
