X;coordillera;Area;Elev;Temp.media;Isoterm;Rango.Temp;Prec.annual;Prec.seso;Rad.sol
ALM;CE;156552;3432.019946;8.019586702;86.61915587;8.870242599;1229.156873;57.64979447;16477.13082
CBG;CC;80708;3479.981013;8.039829465;93.84498238;8.513502123;1444.101266;33.0806775;15709.69031
CHC;NP;63223;3518.049046;8.195046108;87.5732669;11.52982456;1133.705803;28.05855359;13963.82209
CHG;CE;109956;3261.055339;9.492731878;80.08041358;9.187607162;1735.003118;56.68977538;15934.94622
CTR;CW;11233;3232.142857;9.483991229;90.55911282;8.966917298;2078.007519;38.78710394;17250.9718
FRU;CW;13921;3276.04142;9.672041421;90.81287901;9.507692285;2177.47929;46.76036928;17301.48471
GLR;CE;119705;3366.608327;8.617442957;80.68973915;8.981086813;1058.351447;56.32561313;16574.76888
GPC;CC;137677;3393.497512;8.357537832;86.7333227;10.15777364;1707.762438;31.14791788;14682.46124
GUE;CE;42325;3351.845842;9.255992223;86.83470349;9.079107511;1347.363083;48.92730102;16370.69304
HMS;CC;208011;3567.416976;7.525968272;92.33716043;9.506345279;1506.944376;33.00164045;15478.63048
IGM;CE;28311;3227.346154;9.78803008;80.84147182;9.56124261;1020.248521;51.1971379;16531.19107
JSB;CE;142608;3322.983967;8.751271773;88.83325698;8.457897862;1129.256532;53.12677275;16626.65657
LCP;NP;145539;3288.617681;9.194210525;85.05256042;10.79894737;1805.126901;25.84882919;13377.93928
NVS;CC;146027;3797.948256;6.132773739;92.90563338;9.077499998;1404.817442;40.26839677;16412.29637
PIC;CE;23725;2957.858696;11.05611414;82.70422474;8.178260859;1646.101449;36.44346345;14807.75393
PLT;CW;17070;3142.489796;10.09292092;90.60273186;9.197448964;2020.556122;34.39437392;15622.61437
PRJ;CE;29727;2853.132948;12.17642824;79.95082337;11.56175634;1239.342776;64.75187638;18001.48229
PSB;CE;106243;3336.45675;8.497995823;75.84999375;9.192562644;1605.059822;68.82109421;16201.0163
RRB;CE;24650;3226.14966;9.862726757;77.07778066;9.805442206;1543.540816;52.15740897;16147.77268
SCV;CE;333420;3479.639038;8.121252238;82.13612284;9.223714506;1363.619596;42.29322844;15760.41294
SMT;SM;151021;3735.657443;7.005610131;82.31911548;13.74333152;1824.966796;70.73001008;18580.59662
SNC;CE;271033;3664.228302;6.534676365;80.16351212;9.197547181;1263.999686;66.27154189;16401.98737
STR;CC;80929;3303.320594;8.826617178;85.40116691;10.30371157;1983.581124;26.60473599;14297.75636
TBM;CE;151498;3298.298934;9.12708684;73.36382528;9.224060567;1479.522715;64.12405747;16115.78407
TTM;CW;10930;3219.984127;9.7672619;92.30206002;8.321428557;2034.02381;37.26160958;17007.15939
